term,edf,ref.df,statistic,p.value
s(active_burrows),2.270786704399282,14,4.7401482586221615,9.920080567571432e-5
s(block),1.7155005793693832,3,1.436678031817868,0.08652107126468322
s(year),0.22603577073132428,1,0.3143278545120516,0.25142322396227446
s(month),1.569912502994422,2,5.244473332725451,0.006301915727273233
