effect,component,group,term,estimate,std.error,statistic,p.value
fixed,cond,NA,(Intercept),-1.1091248819515986,0.09578743101243377,-11.579023158138856,5.264248516484952e-31
fixed,cond,NA,pika_treatmentpika,-0.08839491948544859,0.09872591333347448,-0.8953568166735509,0.3705963770927076
fixed,cond,NA,posion_plant_treatmentS. chamaejasme,-0.8782296647385721,0.11320499482671831,-7.757870278452545,8.636742403433878e-15
fixed,cond,NA,pika_treatmentpika:posion_plant_treatmentS. chamaejasme,0.8984456386944688,0.15059275787864757,5.966061391999109,2.4304886806088337e-9
ran_pars,cond,block,sd__(Intercept),0.13019907400715616,NA,NA,NA
ran_pars,cond,year,sd__(Intercept),9.396059682901273e-5,NA,NA,NA
ran_pars,cond,month,sd__(Intercept),0.01959032856894938,NA,NA,NA
