contrast,odds.ratio,SE,df,null,z.ratio,p.value
no pika No S. chamaejasme / pika No S. chamaejasme,0.9428584983345892,0.08635088891136129,Inf,1,-0.6424590495114116,0.9182028721696986
no pika No S. chamaejasme / no pika S. chamaejasme,1.0461111210138436,0.09711695419806683,Inf,1,0.48558220604991326,0.9623246440503641
no pika No S. chamaejasme / pika S. chamaejasme,0.779543840565833,0.06933997679753306,Inf,1,-2.799864627143809,0.026293353869114577
pika No S. chamaejasme / no pika S. chamaejasme,1.1095101999522026,0.1023421062434856,Inf,1,1.1266018820065047,0.6730631934932977
pika No S. chamaejasme / pika S. chamaejasme,0.826787733199387,0.07309789337480015,Inf,1,-2.151375984004055,0.1370995904641903
no pika S. chamaejasme / pika S. chamaejasme,0.7451826339541582,0.06681632644255528,Inf,1,-3.2802992566465075,0.005719520473470352
