contrast,ratio,SE,df,null,z.ratio,p.value
no pika No S. chamaejasme / pika No S. chamaejasme,0.961536956457768,0.041094154288223723,Inf,1,-0.9177380794969257,0.7953811211012283
no pika No S. chamaejasme / no pika S. chamaejasme,1.5193264523789178,0.07299692273885683,Inf,1,8.70563121600652,3.2529534621517087e-14
no pika No S. chamaejasme / pika S. chamaejasme,1.0245415131410984,0.044439163421786464,Inf,1,0.5589714218724443,0.9441235355649193
pika No S. chamaejasme / no pika S. chamaejasme,1.5801019837823036,0.07542517184969993,Inf,1,9.584066931282843,3.11972669919669e-14
pika No S. chamaejasme / pika S. chamaejasme,1.0655248415156444,0.045826851225644956,Inf,1,1.4756890753989624,0.45225656191814534
no pika S. chamaejasme / pika S. chamaejasme,0.67433928471192,0.03253136904209212,Inf,1,-8.167638109525711,4.9404924595819466e-14
