term,edf,ref.df,statistic,p.value
s(active_burrows),2.2707867043991454,14,4.7401482586213906,9.920080567582534e-5
s(block),1.7155005793689992,3,1.4366780318175334,0.08652107126468733
s(year),0.22603577073239528,1,0.3143278545136048,0.25142322396223893
s(month),1.5699125029943373,2,5.244473332725456,0.006301915727271901
