contrast,odds.ratio,SE,df,null,z.ratio,p.value
no pika No S. chamaejasme / pika No S. chamaejasme,1.089546508576947,0.10578509630631025,Inf,1,0.8833116785470558,0.8135467747512507
no pika No S. chamaejasme / no pika S. chamaejasme,2.3576267838837537,0.26087910838024814,Inf,1,7.750837625240791,7.827072323607354e-14
no pika No S. chamaejasme / pika S. chamaejasme,1.0690818316316315,0.10356071556776304,Inf,1,0.6895940910572742,0.901116741203127
pika No S. chamaejasme / no pika S. chamaejasme,2.1638606202896677,0.24136538974093696,Inf,1,6.920092911449551,2.7108315592272447e-11
pika No S. chamaejasme / pika S. chamaejasme,0.9812172525135764,0.09578950259784969,Inf,1,-0.1942304353902041,0.997405089467581
no pika S. chamaejasme / pika S. chamaejasme,0.4534567722676263,0.0504967468407529,Inf,1,-7.10181803029953,7.416622871403433e-12
