effect,component,group,term,estimate,std.error,statistic,p.value
fixed,cond,NA,(Intercept),284.04397797456755,10.24846265134343,27.715764562730133,4.5086048045823136e-169
fixed,cond,NA,pika_treatmentpika,11.327089608713182,11.66556577935624,0.9709850188970657,0.33155573879867023
fixed,cond,NA,posion_plant_treatmentS. chamaejasme,-97.03522815283871,11.665565779401929,-8.318090179918691,8.939198952710542e-17
fixed,cond,NA,pika_treatmentpika:posion_plant_treatmentS. chamaejasme,78.93725476750676,16.497601337960184,4.7847716253074895,1.7118185679809548e-6
ran_pars,cond,block,sd__(Intercept),9.529707025324528,NA,NA,NA
ran_pars,cond,month,sd__(Intercept),6.546245916870596,NA,NA,NA
ran_pars,cond,Residual,sd__Observation,57.149367440746474,NA,NA,NA
