contrast,estimate,SE,df,t.ratio,p.value
no pika No S. chamaejasme - pika No S. chamaejasme,8.229315035222566,20.98085122333825,184,0.39222979790584517,0.9794696192098132
no pika No S. chamaejasme - no pika S. chamaejasme,-113.06243818441118,20.98085122336267,184,-5.388839422230567,1.2829501054856252e-6
no pika No S. chamaejasme - pika S. chamaejasme,31.31246010502319,20.980851223043675,184,1.4924303962763965,0.44413856014601194
pika No S. chamaejasme - no pika S. chamaejasme,-121.29175321963375,20.98085122331954,184,-5.78106922014784,1.8691557068795106e-7
pika No S. chamaejasme - pika S. chamaejasme,23.083145069800622,20.98085122421281,184,1.1002005983037368,0.6898595109118364
no pika S. chamaejasme - pika S. chamaejasme,144.37489828943436,20.98085122390104,184,6.881269818307698,5.404230396521825e-10
