effect,component,group,term,estimate,std.error,statistic,p.value
fixed,cond,NA,(Intercept),0.03969076894180655,0.1396981863102055,0.2841179974496704,0.7763199550889993
fixed,cond,NA,pika_treatmentpika,0.07995205922071279,0.1196737729706821,0.6680833839867285,0.5040803676574741
fixed,cond,NA,posion_plant_treatmentS. chamaejasme,-0.9489236215132814,0.12466790961062044,-7.611610914766175,2.7070044871408e-14
fixed,cond,NA,pika_treatmentpika:posion_plant_treatmentS. chamaejasme,1.006120464624917,0.1724730349150372,5.83349429156011,5.42784650856842e-9
ran_pars,cond,block,sd__(Intercept),0.1738703416370712,NA,NA,NA
ran_pars,cond,year,sd__(Intercept),0.08324551205565422,NA,NA,NA
ran_pars,cond,month,sd__(Intercept),0.06453696175642537,NA,NA,NA
