term,estimate,std.error,statistic,p.value,edf,ref.df
(Intercept),13.333333333333336,1.2135912703348417,10.986675381781989,1.5319056751800837e-7,NA,NA
s(active_pika_burrow_no_100m2),NA,NA,13.16612585309733,0.002193484765045106,2.103723071462296,7
s(plot),NA,NA,1.171683250322519,0.06373350745228734,15.120454856184692,29
