model,AIC,deltaAIC,BIC,deltaBIC
Fixed effects only,993.994167851216,0,1007.9316265651263,0
Random intercept for month,995.9941679293761,2.000000078160042,1012.7191183860683,4.787491820942023
Random intercepts: month + month × plant group,995.9941679521415,2.00000010092549,1012.7191184088338,4.787491843707471
Random intercept: month × plant group only,997.9941679456615,4.000000094445454,1017.5066101451358,9.57498358000953
