contrast,odds.ratio,SE,df,null,z.ratio,p.value
no pika No S. chamaejasme / pika No S. chamaejasme,1.1038135918838579,0.19234962921503804,Inf,1,0.5668057031848703,0.9419285009482625
no pika No S. chamaejasme / no pika S. chamaejasme,0.1312360063889618,0.018295636626576756,Inf,1,-14.566783078244894,0
no pika No S. chamaejasme / pika S. chamaejasme,0.4534118656166682,0.06905029428796099,Inf,1,-5.193722932626167,1.231864530382154e-6
pika No S. chamaejasme / no pika S. chamaejasme,0.11889326907542769,0.016856412269881337,Inf,1,-15.020199475024858,0
pika No S. chamaejasme / pika S. chamaejasme,0.4107685110516158,0.06355046457971812,Inf,1,-5.75088165719052,5.319693019423255e-8
no pika S. chamaejasme / pika S. chamaejasme,3.4549349533909957,0.3778695589174502,Inf,1,11.335765997457068,0
