.smooth,.type,.by,.estimate,.se,active_burrows,block,year,month,adj_est
s(active_burrows),TPRS,NA,-0.029563463535117792,0.014368410221148122,54,NA,NA,NA,0.32599209202043783
s(active_burrows),TPRS,NA,-0.026435501594896774,0.01369445802574491,58.06060606060606,NA,NA,NA,0.32912005396065885
s(active_burrows),TPRS,NA,-0.023319084211822622,0.01306184978122145,62.121212121212125,NA,NA,NA,0.332236471343733
s(active_burrows),TPRS,NA,-0.02022575594304279,0.012461362575514447,66.18181818181819,NA,NA,NA,0.33532979961251286
s(active_burrows),TPRS,NA,-0.01716641588138149,0.011882314001500615,70.24242424242425,NA,NA,NA,0.3383891396741741
s(active_burrows),TPRS,NA,-0.014147169806932015,0.011326917879028448,74.30303030303031,NA,NA,NA,0.3414083857486236
s(active_burrows),TPRS,NA,-0.011171966118130885,0.010804144466437324,78.36363636363636,NA,NA,NA,0.34438358943742475
s(active_burrows),TPRS,NA,-0.008244742307602798,0.01032150924326061,82.42424242424242,NA,NA,NA,0.3473108132479528
s(active_burrows),TPRS,NA,-0.005368805936464784,0.009884499711241227,86.48484848484848,NA,NA,NA,0.35018674961909085
s(active_burrows),TPRS,NA,-0.002545711654121127,0.009498136172990721,90.54545454545455,NA,NA,NA,0.3530098439014345
s(active_burrows),TPRS,NA,2.2204901073884594e-4,0.009166260929393755,94.60606060606061,NA,NA,NA,0.3557776045662945
s(active_burrows),TPRS,NA,0.002930404150617784,0.008892492014545703,98.66666666666666,NA,NA,NA,0.3584859597061734
s(active_burrows),TPRS,NA,0.005571687553784105,0.008680052447802792,102.72727272727272,NA,NA,NA,0.36112724310933975
s(active_burrows),TPRS,NA,0.008137010416371052,0.00852716059248204,106.78787878787878,NA,NA,NA,0.3636925659719267
s(active_burrows),TPRS,NA,0.010616551235348685,0.00842751423215032,110.84848484848484,NA,NA,NA,0.3661721067909043
s(active_burrows),TPRS,NA,0.012999934575294714,0.008376316429955002,114.9090909090909,NA,NA,NA,0.3685554901308503
s(active_burrows),TPRS,NA,0.015279109331305447,0.008374866982485227,118.96969696969697,NA,NA,NA,0.37083466488686107
s(active_burrows),TPRS,NA,0.017447015995773658,0.008423036146809264,123.03030303030303,NA,NA,NA,0.37300257155132927
s(active_burrows),TPRS,NA,0.019496605034650543,0.008513534386650744,127.0909090909091,NA,NA,NA,0.3750521605902062
s(active_burrows),TPRS,NA,0.021422108741064545,0.0086340681473586825,131.15151515151516,NA,NA,NA,0.37697766429662016
s(active_burrows),TPRS,NA,0.023222710869257628,0.008775472031722312,135.21212121212122,NA,NA,NA,0.37877826642481327
s(active_burrows),TPRS,NA,0.024901668057958636,0.00893554111432463,139.27272727272725,NA,NA,NA,0.38045722361351425
s(active_burrows),TPRS,NA,0.02646486346990589,0.009115928593988541,143.33333333333331,NA,NA,NA,0.3820204190254615
s(active_burrows),TPRS,NA,0.027918271888482206,0.009315336256618663,147.39393939393938,NA,NA,NA,0.38347382744403785
s(active_burrows),TPRS,NA,0.029267868097070663,0.00952823182462442,151.45454545454544,NA,NA,NA,0.3848234236526263
s(active_burrows),TPRS,NA,0.030519525904353438,0.009746429597856888,155.5151515151515,NA,NA,NA,0.38607508145990904
s(active_burrows),TPRS,NA,0.031677387858527264,0.009964277501283867,159.57575757575756,NA,NA,NA,0.3872329434140829
s(active_burrows),TPRS,NA,0.03274267413192464,0.01017949896070127,163.63636363636363,NA,NA,NA,0.3882982296874803
s(active_burrows),TPRS,NA,0.033715619405316435,0.010388516191088906,167.6969696969697,NA,NA,NA,0.38927117496087205
s(active_burrows),TPRS,NA,0.03459495829273651,0.01059056940760051,171.75757575757575,NA,NA,NA,0.39015051384829214
s(active_burrows),TPRS,NA,0.03537893606938298,0.010787020241498866,175.8181818181818,NA,NA,NA,0.3909344916249386
s(active_burrows),TPRS,NA,0.036065797738145985,0.010979005368031338,179.87878787878788,NA,NA,NA,0.3916213532937016
s(active_burrows),TPRS,NA,0.036653788301915395,0.011166554854302992,183.93939393939394,NA,NA,NA,0.392209343857471
s(active_burrows),TPRS,NA,0.03714115276358131,0.01134824740617097,188,NA,NA,NA,0.39269670831913694
s(active_burrows),TPRS,NA,0.03752613612603371,0.011521335625395488,192.06060606060606,NA,NA,NA,0.39308169168158935
s(active_burrows),TPRS,NA,0.0378069833921627,0.011682284885250962,196.12121212121212,NA,NA,NA,0.39336253894771833
s(active_burrows),TPRS,NA,0.03798193956485826,0.01182768223621737,200.1818181818182,NA,NA,NA,0.39353749512041386
s(active_burrows),TPRS,NA,0.03804924967305333,0.011955493311707005,204.24242424242425,NA,NA,NA,0.39360480522860897
s(active_burrows),TPRS,NA,0.03800730428315216,0.012067828603696753,208.3030303030303,NA,NA,NA,0.39356285983870776
s(active_burrows),TPRS,NA,0.037854980969966055,0.012170460114297859,212.36363636363637,NA,NA,NA,0.39341053652552166
s(active_burrows),TPRS,NA,0.037591259002292994,0.012262457021352917,216.42424242424244,NA,NA,NA,0.3931468145578486
s(active_burrows),TPRS,NA,0.037215052317607245,0.012338918232404078,220.48484848484847,NA,NA,NA,0.39277060787316287
s(active_burrows),TPRS,NA,0.036725083255200776,0.01240136850355951,224.54545454545453,NA,NA,NA,0.3922806388107564
s(active_burrows),TPRS,NA,0.036120039211946404,0.012454445812998765,228.6060606060606,NA,NA,NA,0.391675594767502
s(active_burrows),TPRS,NA,0.03539860758471683,0.012502255748945337,232.66666666666666,NA,NA,NA,0.3909541631402724
s(active_burrows),TPRS,NA,0.03455947577038487,0.012546559413594475,236.72727272727272,NA,NA,NA,0.3901150313259405
