contrast,estimate,SE,df,t.ratio,p.value
no pika No S. chamaejasme - pika No S. chamaejasme,-149.6663099076808,22.00879959567635,89,-6.800294094053312,7.32068383690887e-9
no pika No S. chamaejasme - no pika S. chamaejasme,2.4167979966377375,22.008799595721413,89,0.10981053219765659,0.9995226456384856
no pika No S. chamaejasme - pika S. chamaejasme,-175.66649028806634,22.008799595613258,89,-7.981647955169703,4.273295051149262e-10
pika No S. chamaejasme - no pika S. chamaejasme,152.08310790431855,22.008799595724703,89,6.910104626236013,4.5878958410128234e-9
pika No S. chamaejasme - pika S. chamaejasme,-26.00018038038553,22.008799595685623,89,-1.1813538610930119,0.6401532246477577
no pika S. chamaejasme - pika S. chamaejasme,-178.08328828470408,22.008799595696566,89,-8.091458487337272,4.158340338733524e-10
