model,AIC,deltaAIC,BIC,deltaBIC,model_name
models$mod1,586.6240692543454,4.124153193279199,599.4458102116846,1.5598050018113554,Fixed interactive effects only
models$mod2,588.2193817991856,5.719465738119425,603.6054709479927,5.719465738119425,Random effect of block
models$mod3,583.3237094431953,0.8237933821291108,601.2741467834702,3.388141573596954,Random effect: block and month
models$mod4,582.4999160610662,0,597.8860052098732,0,Random effect: month
