model,AIC,deltaAIC,BIC,deltaBIC,model_name
models$mod1,153.77830761170353,12.969019625265446,166.6000485690427,10.404671433797603,Fixed interactive effects only
models$mod2,155.721713648571,14.912425662132932,171.10780279737804,14.912425662132932,Random effect of block
models$mod3,141.9992118692564,1.1899238828183343,159.94964920953126,3.754272074286149,Random effect: block and month
models$mod4,140.80928798643808,0,156.1953771352451,0,Random effect: month
