model,AIC,deltaAIC,BIC,deltaBIC,model_name
models$mod1,636.03066313604,3.5699435753130047,648.8524040933792,1.0055953838451615,Fixed interactive effects only
models$mod2,632.46071956072694,0,647.846808709534,0,Random effect of block
models$mod3,634.4607196094681,2.0000000487411853,652.411156949743,4.5643482402090285,Random effect: block and month
models$mod4,638.0306632025745,5.569943641847544,653.4167523513815,5.569943641847544,Random effect: month
