model,AIC,deltaAIC,BIC,deltaBIC,model_name
models$mod1,-402.06444500331327,51.6936300554637,-385.7769681431744,48.43613468343591,Fixed interactive effects only
models$mod2,-400.0644449655664,53.69363009321057,-380.5194727333997,53.69363009321057,Random effect of block
models$mod3,-452.1449537882234,1.6131212705535631,-429.3424861840289,4.8706166425813535,Random effect: block and month
models$mod4,-453.75807505877697,0,-434.2131028266103,0,Random effect: month
