contrast,ratio,SE,df,null,z.ratio,p.value
no pika No S. chamaejasme / pika No S. chamaejasme,0.928675271086642,0.0648379359466153,Inf,1,-1.05984855632583,0.7139978969403443
no pika No S. chamaejasme / no pika S. chamaejasme,0.8773582200437718,0.06050706812603845,Inf,1,-1.8971910800828287,0.2291787185927523
no pika No S. chamaejasme / pika S. chamaejasme,0.8502820309154036,0.05825431681184738,Inf,1,-2.3672897612320623,0.08346271260556792
pika No S. chamaejasme / no pika S. chamaejasme,0.9447416630542728,0.0640381735620821,Inf,1,-0.8386040167753683,0.8360590275185327
pika No S. chamaejasme / pika S. chamaejasme,0.9155859506418097,0.06164003792178567,Inf,1,-1.3099679324085445,0.5565168721738373
no pika S. chamaejasme / pika S. chamaejasme,0.9691389577144243,0.06438776458901982,Inf,1,-0.4718266707834164,0.9652686439249243
