contrast,estimate,SE,df,t.ratio,p.value
no pika No S. chamaejasme - pika No S. chamaejasme,-149.6663099076797,22.008799595722007,89,-6.800294094039155,7.3206837258865676e-9
no pika No S. chamaejasme - no pika S. chamaejasme,2.4167979966379924,22.008799595707544,89,0.10981053219773737,0.9995226456384845
no pika No S. chamaejasme - pika S. chamaejasme,-175.66649028806572,22.00879959567452,89,-7.981647955147457,4.273297271595311e-10
pika No S. chamaejasme - no pika S. chamaejasme,152.0831079043177,22.008799595696964,89,6.910104626244683,4.587895952035126e-9
pika No S. chamaejasme - pika S. chamaejasme,-26.000180380386016,22.00879959560934,89,-1.1813538610971286,0.6401532246451815
no pika S. chamaejasme - pika S. chamaejasme,-178.0832882847037,22.008799595705806,89,-8.091458487333858,4.158340338733524e-10
