contrast,estimate,SE,df,t.ratio,p.value
Forbs - Grasses,-57.99992415312612,4.2389239014857045,84,-13.682700020351314,1.5818835130687603e-10
Forbs - Sedges,-28.99990159903069,4.238923901506923,84,-6.841335742951489,3.715219132338632e-9
Grasses - Sedges,29.000022554095434,4.238923901477062,84,6.84136427737953,3.714764718054653e-9
