effect,component,group,term,estimate,std.error,statistic,p.value
fixed,cond,NA,(Intercept),-5.939235509321049,0.055302904909468924,-107.39463901658695,0
fixed,cond,NA,pika_treatmentpika,0.02731939624705746,0.06355741480443221,0.42983806580428013,0.6673134406303386
fixed,cond,NA,posion_plant_treatmentS. chamaejasme,-0.4642062703793133,0.07237292493242091,-6.414087461751359,1.4166886238405447e-10
fixed,cond,NA,pika_treatmentpika:posion_plant_treatmentS. chamaejasme,0.5047462768171282,0.09565159759185368,5.276924688397632,1.3136984339383965e-7
ran_pars,cond,block,sd__(Intercept),0.02907925568280209,NA,NA,NA
ran_pars,cond,year,sd__(Intercept),0.039368479315953844,NA,NA,NA
ran_pars,cond,month,sd__(Intercept),1.3735779564535742e-5,NA,NA,NA
