contrast,odds.ratio,SE,df,null,z.ratio,p.value
no pika No S. chamaejasme / pika No S. chamaejasme,0.9911068352329241,0.019313215163619227,Inf,1,-0.45841682774750847,0.9679998432890053
no pika No S. chamaejasme / no pika S. chamaejasme,1.063524843393769,0.020874761679523866,Inf,1,3.1378144538535744,0.009228567344186644
no pika No S. chamaejasme / pika S. chamaejasme,0.9744818240602157,0.01896141703398742,Inf,1,-1.3284757083518233,0.5446866348022685
pika No S. chamaejasme / no pika S. chamaejasme,1.0730678122543928,0.02104588774825402,Inf,1,3.5956916973301833,0.0018377286992579123
pika No S. chamaejasme / pika S. chamaejasme,0.9832258132204272,0.01911666185117511,Inf,1,-0.8700633477976718,0.8203490001606976
no pika S. chamaejasme / pika S. chamaejasme,0.9162755624500394,0.017944193356404833,Inf,1,-4.464810291001039,4.7392600207363245e-5
