block,pika_treatment,posion_plant_treatment,year,yak,weight_gain,month
2,pika,S. chamaejasme,2023,B2_PP_yak_2,0.23333333333333334,June
2,pika,S. chamaejasme,2023,B2_PP_yak_1,0.3,July
2,pika,S. chamaejasme,2023,B2_PP_yak_2,0.26666666666666666,July
2,pika,S. chamaejasme,2023,B2_PP_yak_1,0.3333333333333333,August
2,pika,S. chamaejasme,2023,B2_PP_yak_2,0.3333333333333333,August
3,pika,S. chamaejasme,2023,B3_PP_yak_1,0.3,June
3,pika,S. chamaejasme,2023,B3_PP_yak_2,0.3333333333333333,June
3,pika,S. chamaejasme,2023,B3_PP_yak_1,0.43333333333333335,July
3,pika,S. chamaejasme,2023,B3_PP_yak_2,0.4,July
3,pika,S. chamaejasme,2023,B3_PP_yak_1,0.5,August
3,pika,S. chamaejasme,2023,B3_PP_yak_2,0.3333333333333333,August
4,pika,S. chamaejasme,2023,B4_PP_yak_1,0.26666666666666666,June
4,pika,S. chamaejasme,2023,B4_PP_yak_2,0.3,June
4,pika,S. chamaejasme,2023,B4_PP_yak_1,0.3333333333333333,July
4,pika,S. chamaejasme,2023,B4_PP_yak_2,0.36666666666666664,July
4,pika,S. chamaejasme,2023,B4_PP_yak_1,0.4,August
4,pika,S. chamaejasme,2023,B4_PP_yak_2,0.4,August
